Station,Latitude,Longitude,Depth,Comments
1,20.12631667,40.21616667,5,WS01
2,20.12353333,40.22435,5,WS02
3,20.1292,40.209683,5,WS03
4,20.11913333,40.23921667,5,WS04
5,20.08855,40.2351,5,WS05
6,20.10055,40.22643333,5,WS06
7,20.11115,40.21888333,5,WS07
8,20.11846667,40.21453333,5,WS08
9,20.13786667,40.22171667,5,WS09
10,20.10876667,40.25383333,5,WS10
11,20.09453333,40.27481667,5,WS11
12,20.05741667,40.37816667,5,WS12
13,20.0347,40.35413333,5,WS15
14,20.03506667,40.39563333,5,WS16
15,20.12155,40.21976667,5,WS17
16,20.11641667,40.22396667,5,WS18
17,20.01961667,40.4193,5,WS19
18,20.00516667,40.39945,5,WS20
19,20.0163,40.41815,5,WS21
20,20.1763,40.09756667,5,WS22
21,20.13343333,40.10148333,5,WS23
22,20.10033333,40.23085,5,WS24
23,20.10913333,40.22596667,5,WS25
24,19.94526667,40.15161667,5,WS26
25,19.96716667,40.15166667,5,WS27
26,19.98308333,40.13471667,5,WS28
27,20.02995,40.1479,5,WS29
28,20.0817,40.07565,5,WS30
29,20.16568333,40.16773333,5,WS31
30,19.98446667,40.40625,5,WS32
31,19.99183333,40.41286667,5,WS33
32,20.17305,40.08151667,5,WS34
33,39.95393333,19.78721667,5,A00
34,39.95578333,19.78758333,5,A01
35,39.95666667,19.78898333,5,A02
36,39.95533333,19.78983333,5,A03
37,39.9535,19.79035,5,A04
38,39.95216667,19.79046667,5,A05
39,39.95041667,19.79035,5,A06
40,39.94961667,19.7896,5,A08
41,39.95031667,19.78805,5,A09
42,39.95206667,19.78738333,5,A10
43,39.90915,19.7521,5,M00
44,39.90748333,19.751,5,M01
45,39.90563333,19.7502,5,M02
46,39.90415,19.74928333,5,M03
47,39.90418333,19.74778333,5,M04
48,39.9062,19.74728333,5,M05
49,39.9081,19.74746667,5,M06
50,39.90973333,19.74818333,5,M07
51,39.91111667,19.74968333,5,M08
52,39.91173333,19.75101667,5,M09
53,39.91145,19.75238333,5,M10
54,39.90998333,19.75255,5,M11
55,39.8902,19.76408333,5,L00
56,39.89238333,19.76745,5,L01
57,39.89265,19.77408333,5,L03
58,39.89298333,19.78055,5,L05
59,39.94128333,19.77956667,5,G1-0
60,39.94236667,19.78391667,5,G1-2
61,39.9421,19.7818,5,G1-3
62,39.96966667,19.76888333,5,G2-0
63,39.97263333,19.77008333,5,G2-1
64,39.97068333,19.76778333,5,G2-2
65,39.95963333,19.76375,5,B01
66,39.9604,19.76246667,5,B03
