Red.Sea.Numbering,Ecocean,Original.Transmitter,Date.Sighted.Without.Tag,Last.Detection.Before.Tag.Loss,Retagging.Date,New.Tag,,,,,,,,,,,,
WS_025,R-092,A69-9002-2116,4/20/2011,4/7/2011,4/20/2011,A69-9002-15795,,,,,,,,,,,Retagging,2011-1
WS_015,R-089,A69-9002-2117,3/16/2012,7/2/2011,3/16/2012,A69-9002-2678,,,,,,,,,,,Retagging,2011-1
WS_035,R-124,A69-9002-2123,3/31/2016,2/26/2011,3/31/2016,A69-9001-19739,,,,,,,,,,,Retagging,2012-1
WS_103,R-070,A69-9002-15819,4/18/2012,3/28/2012,4/18/2012,A69-9002-15811,,,,,,,,,,,Retagging,2012-1
WS_104,R-085,A69-9002-15792,4/20/2012,7/31/2011,4/20/2012,A69-9002-15800,,,,,,,,,,,Retagging,2012-1
WS_107,R-073,A69-9002-2668,3/25/2014,5/2/2011,3/31/2016,A69-9001-21589,,,,,,,,,,,Retagging,2014-1
WS_127,R-115,A69-9002-15789,3/25/2014,4/27/2011,3/25/2014,A69-9001-28054,,,,,,,,,,,Retagging,2016-1
WS_110,R-183,A69-9002-15775,4/4/2014,11/9/2012,NA,NA,,,,,,,,,,,Retagging,2016-1
WS_403,DJ-109,A69-9002-15364,3/18/2016,4/8/2015,3/10/2016,A69-9001-19728,,,,,,,,,,,Retagging,2016-1
WS_402,R-061,A69-9002-15797,4/10/2016,5/21/2015,NA,NA,,,,,,,,,,,,
WS_112,R-098,A69-9002-15778,4/18/2011,4/18/2011,4/18/2011,A69-9002-2677,,,,,,,,,,,,
